date,amount,type,fraud,hour,day_of_week,amount_zscore,rolling_avg_amount,dr_cr_ratio,is_night,bayesian_fraud_prob
2023-10-30 22:00:00,6279.660701109152,0,0.0,22,0,0.21314513837968335,6278.412215180195,0.0,1.0,0.03777745020375939
2023-02-05 20:00:00,2422.6167781632785,0,0.0,20,6,-2.2955944787392664,4349.944357506888,0.0,0.0,0.4620579764882571
2023-08-13 14:00:00,7875.664232736941,1,0.0,14,6,-0.3226560588292745,5525.836172410274,0.3333333333333333,0.0,0.4951290758771409
2023-08-05 07:00:00,29276.627622422006,1,0.0,7,5,2.2739164022959395,11463.854734627726,0.5,0.0,0.538700393693222
2023-08-27 22:00:00,2098.0632534689735,0,0.0,22,6,-0.5501016490070775,9588.701599244034,0.4,1.0,0.03597575917565675
2023-09-19 01:00:00,2098.1149223981756,1,0.0,1,1,4.77138830698315,8756.330460917283,0.5,1.0,0.051398030052918736
2023-01-20 10:00:00,31850.846019241842,0,0.0,10,4,1.6294094507448154,14640.577105467564,0.42857142857142855,0.0,0.5279509361841002
2023-07-04 10:00:00,9425.292946871536,0,0.0,10,1,-0.37935236656361926,14949.979203190838,0.375,0.0,0.4941741543276608
2023-08-21 10:00:00,1474.0786375629527,1,0.0,10,0,-1.2678747245405413,9390.348823200584,0.4444444444444444,0.0,0.47923200133378097
2023-12-13 18:00:00,6726.700704624201,1,0.0,18,2,-0.4652108736924959,10313.176396415527,0.5,0.0,0.4927282552965479
2023-03-12 05:00:00,1487.5317188384392,1,0.0,5,6,-0.7408177136211119,10192.842575980669,0.6,0.0,0.48808908187783273
2023-02-02 01:00:00,1482.3817586961763,1,0.0,1,3,-2.4315265840504896,4119.498510137346,0.7,1.0,0.03200699436306998
2023-10-17 13:00:00,4285.289574303153,0,0.0,13,1,-0.569091441997787,3092.26739561536,0.6,0.0,0.49097923853831993
2023-04-12 09:00:00,169.0305779232152,1,0.0,9,2,-0.6054334546369906,2831.0237438376657,0.6,0.0,0.49036747070169345
2023-08-10 07:00:00,224.21899964582335,0,0.0,7,3,0.061965244057783364,1529.1001852568475,0.6,0.0,0.5016085535962489
2023-07-30 11:00:00,1282.5027305654705,1,0.0,11,6,-0.08361578024897642,1490.8197699166055,0.6,0.0,0.49915590197476284
2023-09-25 12:00:00,652.4622737374098,0,0.0,12,0,0.0403070295217447,1321.3092898638286,0.6,0.0,0.5012436739483377
2023-02-19 08:00:00,4776.0589544504355,1,0.0,8,6,-4.326021913965135,1422.2420711462935,0.7,0.0,0.42879967511213124
2023-07-09 19:00:00,763.5387578161303,0,0.0,19,6,-1.3246782212315589,1542.6015972726557,0.6,0.0,0.47827898509425515
2023-05-22 01:00:00,358.3622864400219,1,0.0,1,0,-0.1284343956320716,1565.547409222943,0.6,1.0,0.03695649534486856
2023-09-24 12:00:00,26862.14037885014,0,0.0,12,6,1.1507400787394215,6683.0997549128215,0.5,0.0,0.5199282445839757
2023-12-28 02:00:00,2124.5930332871553,1,0.0,2,3,-4.949979198634899,6974.420066139198,0.5,1.0,0.027597026034659525
2023-04-17 14:00:00,3298.7282917047705,0,0.0,14,0,0.6088182169967673,6681.262872056414,0.5,0.0,0.5108179684574611
2023-11-24 01:00:00,351.7348837578749,0,0.0,1,4,0.269330891168983,6599.144883499991,0.4,1.0,0.03791481428250856
2023-03-27 07:00:00,1317.4138815243557,0,0.0,7,0,-0.3556090103434019,6791.097984645415,0.4,0.0,0.4945740464946384
2023-04-25 11:00:00,3520.590057673917,0,0.0,11,1,-2.333909623392939,2124.6667745889335,0.3,0.0,0.461421066451102
2023-01-08 21:00:00,530.3353985597605,1,0.0,21,6,0.25347340023317577,1804.1828617169238,0.4,0.0,0.5048346728249354
2023-04-24 22:00:00,5237.224846199403,0,0.0,22,0,-0.022457108801574976,2191.421650409011,0.3,1.0,0.03720862488755219
2023-05-06 05:00:00,1210.8065237767717,1,0.0,5,5,0.3656193175081384,2364.240016698619,0.4,0.0,0.5067234971605058
2023-07-14 02:00:00,1924.5729449096953,0,0.0,2,4,0.2816950376557861,2487.0192529222554,0.3,1.0,0.03794513172309147
2023-03-21 03:00:00,1208.8685054800953,0,0.0,3,1,0.46698026364837797,2019.24108038711,0.3,1.0,0.038403348034055554
2023-11-19 06:00:00,47974.13434151312,1,1.0,6,6,2.5759977305857773,11514.475055890187,0.3,0.0,0.543712317866235
2023-02-22 19:00:00,2921.212833289627,1,0.0,19,2,-1.625100437161443,11046.160304313222,0.4,0.0,0.47324504255687777
2023-03-05 16:00:00,609.9845363292711,0,0.0,16,6,-0.08387207456815288,10928.74557535258,0.4,0.0,0.4991515841187802
2023-05-29 04:00:00,10237.547502043235,0,0.0,4,0,0.39116544755739435,12589.770920066547,0.4,0.0,0.5071537044577414
2023-06-12 02:00:00,477.5813562760199,1,0.0,2,0,0.15122485282274167,12442.761667832629,0.5,1.0,0.037626833956524865
2023-08-13 17:00:00,4077.728582950675,0,0.0,17,6,-1.3596764701010877,3664.6828006608625,0.4,0.0,0.4776919833947376
2023-12-18 09:00:00,157.66851364102834,1,0.0,9,0,-1.4736893453794329,3112.44165365521,0.5,0.0,0.4757807173512964
2023-11-10 01:00:00,406.555693365458,1,0.0,1,4,1.0018900687830758,3071.144394532985,0.5,1.0,0.03976800401365274
2023-04-19 20:00:00,4004.9719422746944,1,0.0,20,2,0.40821859109558123,1822.6860097371914,0.6,0.0,0.5074408734157971
2023-10-21 09:00:00,9024.51344641406,0,0.0,9,5,1.7328735444593135,3534.509433036238,0.6,0.0,0.5296810962125317
2023-09-17 19:00:00,3854.715263976941,1,0.0,19,6,0.4341397886068799,3491.3187361067107,0.6,0.0,0.5078773563099288
2023-08-17 14:00:00,2506.2116179843215,0,0.0,14,3,-0.165048773845014,3959.127581848993,0.5,0.0,0.49778400457502164
2023-10-23 19:00:00,1897.5985726498416,0,0.0,19,0,-0.05164418735677545,4256.764378420849,0.5,0.0,0.4996945378016073
2023-02-02 07:00:00,324.47776547166234,0,0.0,7,3,0.9849916368305266,3521.381340443185,0.5,0.0,0.5171443644617465
2023-12-09 18:00:00,1012.5565886138933,0,0.0,18,5,-0.3055274615402829,1916.77608272482,0.4,0.0,0.49541758563658383
2023-05-12 08:00:00,1493.7452616540095,1,0.0,8,4,-0.1385477688591178,1447.9423250003904,0.5,0.0,0.4982304589503725
2023-03-08 01:00:00,14554.90514753766,1,0.0,1,2,-0.7689142582371393,3857.714180588972,0.5,1.0,0.03548066179202169
2023-06-14 07:00:00,4991.179004841438,1,0.0,7,2,-0.2750623079623071,4475.566339497635,0.5,0.0,0.49593075043913865
2023-11-11 19:00:00,211.75707964582372,0,0.0,19,5,0.038553632995589115,4452.480767844687,0.4,0.0,0.501214134051616
2023-05-09 01:00:00,4847.051951620738,0,0.0,1,1,-0.8434533983449759,5220.64289720025,0.4,1.0,0.03531411730959473
2023-02-12 13:00:00,1673.0048155512277,0,0.0,13,6,-1.3397058363621228,5255.695430587761,0.3,0.0,0.4780269201858552
2023-06-10 03:00:00,1079.892739103316,1,0.0,3,5,-0.9384856192894542,2561.632281996048,0.4,1.0,0.035103323034228626
2023-11-29 21:00:00,7461.520055716536,0,0.0,21,2,-0.7905603513376094,3054.950383895832,0.4,0.0,0.4872522349147488
2023-10-14 09:00:00,13995.614139186917,1,0.0,9,5,-0.4875133554658883,5812.257948881415,0.5,0.0,0.49235271463581026
2023-08-25 11:00:00,12051.207949595015,0,0.0,11,4,0.06910320440175216,7252.467497302636,0.5,0.0,0.5017288073179438
2023-01-07 17:00:00,846.5537659637657,0,0.0,17,5,1.2033595326665174,7086.769328474955,0.4,0.0,0.5208114686746467
2023-06-29 01:00:00,1874.6578396334576,1,0.0,1,3,-0.4074507907677562,7248.38640028001,0.4,1.0,0.036303574247438165
2023-02-11 11:00:00,4899.532871000164,0,0.0,11,5,-1.2059715143795224,6733.599118979464,0.3,0.0,0.4802709704192816
2023-11-14 21:00:00,12878.540663084048,1,0.0,21,1,-1.5860576115162557,6510.334566843712,0.4,0.0,0.4738986020918334
2023-02-12 08:00:00,1452.7863951510828,1,0.0,8,6,0.0493264837686509,4389.595540504321,0.5,0.0,0.5013956266037345
2023-11-24 21:00:00,2256.367582846473,0,0.0,21,4,-0.664252007610869,4672.666489361587,0.5,0.0,0.4893774840927383
2023-09-26 07:00:00,567.0783848118854,0,0.0,7,1,0.5262182020732957,4411.015747994675,0.4,0.0,0.5094276241527431
2023-11-25 20:00:00,495.5608065897004,0,0.0,20,5,-0.12602606170049263,3529.071640316938,0.4,0.0,0.4984414108846634
2023-10-13 23:00:00,10084.841497347674,1,0.0,23,4,1.0033450403809434,2969.199764314212,0.4,1.0,0.03977180243324516
2023-11-26 20:00:00,22796.44867303842,0,0.0,20,6,0.3131398047916255,7240.293490598927,0.4,0.0,0.505839653192973
2023-12-22 09:00:00,2675.749528439278,1,0.0,9,4,0.11545805583479735,7324.685251244754,0.5,0.0,0.5025097394131276
2023-02-06 14:00:00,13430.712578721308,1,0.0,14,0,-0.31784494758176707,9896.7105502375,0.5,0.0,0.49521011226750444
2023-07-23 15:00:00,5127.9130245806045,1,0.0,15,6,1.8921446441555927,10822.342400191954,0.6,0.0,0.5323413126605184
2023-07-22 11:00:00,1132.6557416153548,0,0.0,11,5,-0.15084679403096807,9033.100940411361,0.5,0.0,0.4980232600412093
