date,amount,type,fraud
2023-10-30 22:00:00,6235.788935378231,1,0.0
2023-02-05 20:00:00,3500.1291350931565,0,0.0
2023-08-13 14:00:00,19615.381628843068,0,0.0
2023-08-05 07:00:00,201.63299397318053,0,1.0
2023-08-27 22:00:00,1698.919786823204,0,0.0
2023-09-19 01:00:00,2724.274841342434,1,0.0
2023-01-20 10:00:00,992.4314766906173,0,0.0
2023-07-04 10:00:00,688.7700618250224,1,0.0
2023-08-21 10:00:00,2187.6043023147226,1,0.0
2023-12-13 18:00:00,1409.606684293219,1,1.0
2023-03-12 05:00:00,758.6206886236802,0,0.0
2023-02-02 01:00:00,8105.13608260436,1,0.0
2023-10-17 13:00:00,2384.754246743227,1,0.0
2023-04-12 09:00:00,106767.30222335528,0,0.0
2023-08-10 07:00:00,804.0742552124982,1,0.0
2023-07-30 11:00:00,11929.595986292115,0,0.0
2023-09-25 12:00:00,840.2624016432886,1,0.0
2023-02-19 08:00:00,2109.345077642851,1,0.0
2023-07-09 19:00:00,513.0918332491711,0,0.0
2023-05-22 01:00:00,2905.6481503464997,0,1.0
2023-09-24 12:00:00,1467.0600518760527,1,0.0
2023-12-28 02:00:00,8234.19726343185,0,0.0
2023-04-17 14:00:00,2081.7068779561246,0,0.0
2023-11-24 01:00:00,12437.497397482612,0,0.0
2023-03-27 07:00:00,2464.8068187158324,0,0.0
2023-04-25 11:00:00,507.73283026983603,1,0.0
2023-01-08 21:00:00,9068.785862268154,0,0.0
2023-04-24 22:00:00,2218.7736142825,0,0.0
2023-05-06 05:00:00,654.8883607020509,0,0.0
2023-07-14 02:00:00,4828.213575975109,0,0.0
2023-03-21 03:00:00,679.4960834531921,1,0.0
2023-11-19 06:00:00,9627.902403917184,1,0.0
2023-02-22 19:00:00,1578.7201333165588,0,0.0
2023-03-05 16:00:00,1634.4981402242515,1,0.0
2023-05-29 04:00:00,3397.0008683542073,1,0.0
2023-06-12 02:00:00,3679.5830140120665,0,0.0
2023-08-13 17:00:00,2308.536072297703,1,0.0
2023-12-18 09:00:00,1124.0059367403903,0,0.0
2023-11-10 01:00:00,54.37768047648062,0,0.0
2023-04-19 20:00:00,29272.24075760237,1,0.0
2023-10-21 09:00:00,4326.0961266225995,0,0.0
2023-09-17 19:00:00,206.3780675206525,1,0.0
2023-08-17 14:00:00,26053.178654894986,1,0.0
2023-10-23 19:00:00,1363.0034216065512,1,0.0
2023-02-02 07:00:00,2949.7533579021006,1,0.0
2023-12-09 18:00:00,5472.2895125318655,1,0.0
2023-05-12 08:00:00,10459.320346128032,1,0.0
2023-03-08 01:00:00,372.5211318739234,0,0.0
2023-06-14 07:00:00,4738.713620479048,0,0.0
2023-11-11 19:00:00,55264.55964403921,1,1.0
2023-05-09 01:00:00,1538.1247885200764,1,0.0
2023-02-12 13:00:00,6962.378387197033,1,0.0
2023-06-10 03:00:00,4389.309616214029,1,0.0
2023-11-29 21:00:00,3485.6368400687343,0,0.0
2023-10-14 09:00:00,11186.977609467303,1,0.0
2023-08-25 11:00:00,2733.842103930946,1,0.0
2023-01-07 17:00:00,144.95814910681318,0,0.0
2023-06-29 01:00:00,780.8703831477113,0,0.0
2023-02-11 11:00:00,2125.5187407633466,0,0.0
2023-11-14 21:00:00,2216.1137042085566,0,0.0
2023-02-12 08:00:00,3017.3753841022976,1,0.0
2023-11-24 21:00:00,4158.517808938497,0,1.0
2023-09-26 07:00:00,6218.219733051671,1,0.0
2023-11-25 20:00:00,35701.510709106275,0,0.0
2023-10-13 23:00:00,2817.0228471005357,1,0.0
2023-11-26 20:00:00,909.0868697403848,1,0.0
2023-12-22 09:00:00,385.38908480927125,0,0.0
2023-02-06 14:00:00,3344.118952087425,0,0.0
2023-07-23 15:00:00,4061.5435617408007,1,0.0
2023-07-22 11:00:00,1732.9336468695901,0,0.0
2023-09-21 19:00:00,3117.0310062317117,0,0.0
2023-12-24 03:00:00,4689.106947067335,0,0.0
2023-12-28 20:00:00,1467.8632032285523,0,0.0
2023-10-28 08:00:00,106.71468664655772,0,0.0
2023-08-08 20:00:00,4126.110479065383,0,0.0
2023-03-27 22:00:00,810.6655774270516,1,0.0
2023-01-03 16:00:00,4780.09022043799,1,0.0
2023-11-30 14:00:00,1293.8089100996528,1,0.0
2023-04-18 00:00:00,19335.74712186694,0,0.0
2023-08-16 15:00:00,1483.1254530882838,0,0.0
2023-03-26 11:00:00,4514.151673762758,0,0.0
2023-04-23 07:00:00,520.2973216008121,0,1.0
2023-08-08 02:00:00,5793.182507554032,0,0.0
2023-08-23 02:00:00,9042.516515606447,0,0.0
2023-10-08 16:00:00,19479.825279531484,0,0.0
2023-01-17 07:00:00,1049.982244679369,0,0.0
2023-09-03 12:00:00,1420.198928553248,1,0.0
2023-05-29 09:00:00,31828.30503814563,0,0.0
2023-09-15 16:00:00,1039.703709469598,0,0.0
2023-05-10 03:00:00,6051.156699477026,1,0.0
2023-09-19 14:00:00,2368.499681369111,0,0.0
2023-12-16 16:00:00,376.91147090939177,0,0.0
2023-05-10 08:00:00,15386.067938175394,0,0.0
2023-10-28 15:00:00,3118.696642685365,0,1.0
2023-04-13 06:00:00,15741.788642414793,1,0.0
2023-04-24 19:00:00,45977.130583639344,0,0.0
2023-12-06 18:00:00,84253.99908999848,1,0.0
2023-07-30 16:00:00,3533.225015036704,1,0.0
2023-12-04 22:00:00,846.6470868132349,1,0.0
2023-06-10 00:00:00,2707.2801474732746,0,1.0
2023-02-12 20:00:00,392.6196956635539,1,0.0
2023-11-04 17:00:00,920.4921646036817,1,0.0
2023-01-21 22:00:00,365.758942238928,1,0.0
2023-10-15 22:00:00,565.9243720424735,0,0.0
2023-10-17 02:00:00,50887.87622877895,0,1.0
2023-07-07 00:00:00,539.1840545744889,1,0.0
2023-01-09 14:00:00,251.3034926053318,0,0.0
2023-08-02 22:00:00,271.7555514117792,1,0.0
2023-09-07 01:00:00,1374.99599270417,0,0.0
2023-11-18 17:00:00,434.3255943921211,1,0.0
2023-10-21 03:00:00,583.2278017865898,0,0.0
2023-03-03 20:00:00,6497.559530441374,0,0.0
2023-11-24 10:00:00,3685.54415495758,0,0.0
2023-02-05 23:00:00,4964.563661321135,0,0.0
2023-04-27 06:00:00,34010.43910061878,1,0.0
2023-11-05 16:00:00,279.7987242613228,0,1.0
2023-08-02 04:00:00,3300.515810719732,0,0.0
2023-09-08 19:00:00,391.08980480356985,0,0.0
2023-03-15 05:00:00,3713.1650782101506,1,0.0
2023-11-12 14:00:00,10617.101006281684,1,0.0
2023-09-23 14:00:00,7975.670108033095,0,0.0
